_id,Value.Time,Value.ElapsedTime,Value.Type,Value.PatientID,Value.TrialID,Value.ToolEnded,Value.Repetitions,Value.VibrationStrength,Value.Scenario[0],Value.Scenario[1],Value.Scenario[2],Value.Scenario[3],Value.Scenario[4],Value.Scenario[5],Value.Scenario[6],Value.Scenario[7],Value.Scenario[8],Value.Scenario[9],Value.Scenario[10],Value.Scenario[11],Value.Scenario[12],Value.Scenario[13],Value.Scenario[14],Value.Scenario[15],Value.Scenario[16],Value.Scenario[17],Value.Scenario[18],Value.Scenario[19],Value.Scenario[20],Value.Scenario[21],Value.Scenario[22],Value.Scenario[23],Value.Scenario[24],Value.Scenario[25],Value.Scenario[26],Value.Scenario[27]
650467a188f911d6b5fcad25,2023-09-15 10:18:09 AM,0,VibrationConfig,Default,841314e1-a62d-42a8-8a0e-a52c71403955,false,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467a388f911d6b5fcad2b,2023-09-15 10:18:11 AM,2589,VibrationData,,,,,0.005000000353902578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467a688f911d6b5fcad2d,2023-09-15 10:18:14 AM,4956,VibrationData,,,,,0.004500000271946192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467a888f911d6b5fcad2f,2023-09-15 10:18:16 AM,7211,VibrationData,,,,,0.004500000271946192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467aa88f911d6b5fcad32,2023-09-15 10:18:18 AM,9453,VibrationData,,,,,0.004500000271946192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467ad88f911d6b5fcad39,2023-09-15 10:18:21 AM,12237,VibrationData,,,,,0.005500000435858965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467ad88f911d6b5fcad3b,2023-09-15 10:18:21 AM,12237,VibrationConfig,Default,841314e1-a62d-42a8-8a0e-a52c71403955,true,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467b588f911d6b5fcad40,2023-09-15 10:18:29 AM,0,VibrationConfig,Default,841314e1-a62d-42a8-8a0e-a52c71403955,false,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467b888f911d6b5fcad45,2023-09-15 10:18:32 AM,2535,VibrationData,,,,,0.005000000353902578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467b888f911d6b5fcad47,2023-09-15 10:18:32 AM,3023,VibrationData,,,,,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467bb88f911d6b5fcad49,2023-09-15 10:18:35 AM,5613,VibrationData,,,,,0.005000000353902578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467bb88f911d6b5fcad4b,2023-09-15 10:18:35 AM,5668,VibrationData,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467bd88f911d6b5fcad4d,2023-09-15 10:18:37 AM,7910,VibrationData,,,,,0.004500000271946192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467bd88f911d6b5fcad4f,2023-09-15 10:18:37 AM,7910,VibrationConfig,Default,841314e1-a62d-42a8-8a0e-a52c71403955,true,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467c288f911d6b5fcad57,2023-09-15 10:18:42 AM,0,VibrationConfig,Default,841314e1-a62d-42a8-8a0e-a52c71403955,false,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467c488f911d6b5fcad59,2023-09-15 10:18:44 AM,2577,VibrationData,,,,,0.005000000353902578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467c788f911d6b5fcad5b,2023-09-15 10:18:47 AM,5000,VibrationData,,,,,0.004500000271946192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467c988f911d6b5fcad5f,2023-09-15 10:18:49 AM,7339,VibrationData,,,,,0.005000000353902578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467c988f911d6b5fcad61,2023-09-15 10:18:49 AM,7367,VibrationData,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467cb88f911d6b5fcad67,2023-09-15 10:18:51 AM,9789,VibrationData,,,,,0.005000000353902578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650467cb88f911d6b5fcad69,2023-09-15 10:18:51 AM,9789,VibrationConfig,Default,841314e1-a62d-42a8-8a0e-a52c71403955,true,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6504690188f911d6b5fcc8d8,2023-09-15 10:24:01 AM,,ApplicationQuit,Default,841314e1-a62d-42a8-8a0e-a52c71403955,,,,FingerFollowScene,FingerFollowScene,FingerFollowScene,FingerFollowScene,SpeechPerceptionScene,SpeechPerceptionScene,SpeechPerceptionScene,FingerNoseScene,FingerNoseScene,FingerNoseScene,FingerNoseScene,EverydayTaskScene,EverydayTaskScene,EverydayTaskScene,EverydayTaskScene,EyeContrastScene,EyeContrastScene,EyeContrastScene,VibrationScene,VibrationScene,VibrationScene,PegboardSphereScene_AutoHand,PegboardSphereScene_AutoHand,PegboardSphereScene_AutoHand,RhythmScene,RhythmScene,RhythmScene,RhythmScene
